,Type,Date,Set Time,Title,Amount,Currency,Exchange Rate,Category Group Name,Category,Account,Notes,Labels,Status
0,Expense,2023-02-28 20:23:06,20:23,Grocery Goyal,-287.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family,None
1,Expense,2023-02-28 19:06:44,19:06,Dental stuff,-2500.0,INR,1.0,Household,Medicines,Dipti Savings,,0 Dipti,None
2,Expense,2023-02-28 19:06:36,19:06,Grocery,-180.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family,None
3,Expense,2023-02-28 19:06:28,19:06,Veggies,-230.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family Health ,None
4,Expense,2023-02-28 19:06:09,19:06,Milind Bakery,-84.0,INR,1.0,Household,Grocery,AmitK Savings,,0 Family,None
5,Expense,2023-02-28 19:05:56,19:05,BB coffee,-31.0,INR,1.0,Entertainment,Dining Out,Sodexho,,0 Amit,None
6,Expense,2023-02-28 09:10:22,09:10,BB snacks,-39.0,INR,1.0,Entertainment,Dining Out,Sodexho,,0 Amit,None
8,Expense,2023-02-28 07:55:53,07:55,Nyati Maid 2,-1600.0,INR,1.0,Household,Monthly,AmitK Savings,,0 Family,None
9,Expense,2023-02-28 07:00:55,07:00,Nyati Cook,-4000.0,INR,1.0,Household,Monthly,AmitK Savings,,0 Family,None
10,Expense,2023-02-28 07:00:36,07:00,Nyati Milk,-1700.0,INR,1.0,Household,Monthly,AmitK Savings,,0 Family,None
11,Expense,2023-02-28 07:00:24,07:00,Car clenaing,-700.0,INR,1.0,Household,Monthly,Wallet,,0 Family,None
12,Expense,2023-02-28 07:00:16,07:00,Nyati Newspaper,-170.0,INR,1.0,Household,Monthly,AmitK Savings,,0 Family,None
13,Expense,2023-02-27 19:50:46,19:50,ODA subscription,-14999.0,INR,1.0,Household,School,AmitK CC,,0 Adi,None
14,Expense,2023-02-27 18:14:56,18:14,Reddy vada paav,-82.0,INR,1.0,Entertainment,FoodDelivery,AmitK Savings,,0 Family,None
15,Expense,2023-02-27 18:14:48,18:14,Fruits,-250.0,INR,1.0,Household,Grocery,AmitK Savings,,0 Family,None
16,Expense,2023-02-27 18:14:41,18:14,BB coffee,-20.0,INR,1.0,Entertainment,Dining Out,Sodexho,,0 Amit,None
17,Expense,2023-02-26 17:40:24,17:40,Help Luxor electrician,-1000.0,INR,1.0,Household,Donation,AmitK Savings,,Donation,None
18,Expense,2023-02-26 16:04:09,16:04,Pizza,-882.0,INR,1.0,Entertainment,FoodDelivery,Dipti Savings,,0 Family,None
19,Expense,2023-02-26 07:55:18,07:55,Nyati Electricity bill,-1345.0,INR,1.0,Household,Monthly,AmitK Savings,,0 Family,None
20,Expense,2023-02-25 15:09:17,15:09,Paav,-40.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family,None
21,Expense,2023-02-25 15:09:10,15:09,Veggies,-120.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family Health ,None
22,Expense,2023-02-25 15:08:58,15:08,Steel shop,-100.0,INR,1.0,Household,HouseholdItems,Dipti Savings,,0 Family,None
23,Expense,2023-02-25 15:08:45,15:08,Towel,-130.0,INR,1.0,Household,HouseholdItems,Dipti Savings,,0 Family,None
24,Expense,2023-02-25 15:06:20,15:06,Riddish Advik Munj contri,-3947.0,INR,1.0,Others,Gift,AmitK Savings,,0 Family,None
25,Expense,2023-02-25 14:59:41,14:59,Coriander,-20.0,INR,1.0,Household,Grocery,AmitK Savings,,0 Family,None
26,Expense,2023-02-25 14:59:29,14:59,Misal masala,-60.0,INR,1.0,Household,Grocery,AmitK Savings,,0 Family,None
27,Expense,2023-02-25 14:59:15,14:59,Ganesh Sweets,-350.0,INR,1.0,Household,Grocery,AmitK Savings,,0 Family,None
30,Expense,2023-02-24 10:20:28,10:20,Ganesh Sweets,-45.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Adi 0 Dipti,None
31,Expense,2023-02-24 10:20:12,10:20,Paav and bun,-60.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family,None
32,Expense,2023-02-24 10:20:02,10:20,Eggs,-60.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family,None
33,Expense,2023-02-24 10:19:53,10:19,Veggies,-100.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family Health ,None
34,Expense,2023-02-24 10:18:52,10:18,Ripple tea,-1025.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family,None
37,Expense,2023-02-22 15:26:33,15:26,BB snacks,-35.0,INR,1.0,Entertainment,Dining Out,Sodexho,,0 Amit,None
38,Expense,2023-02-22 15:26:26,15:26,BB coffee,-20.0,INR,1.0,Entertainment,Dining Out,Sodexho,,0 Amit,None
39,Expense,2023-02-22 08:16:43,08:16,Activa petrol,-418.0,INR,1.0,Travel,Fuel,AmitK CC,,0 Family,None
40,Expense,2023-02-21 07:46:31,07:46,BB coffee,-31.0,INR,1.0,Entertainment,Dining Out,Sodexho,,0 Amit,None
41,Expense,2023-02-20 18:58:55,18:58,Kaventers,-737.0,INR,1.0,Entertainment,FoodDelivery,Sodexho,,0 Family,None
42,Expense,2023-02-19 19:30:56,19:30,Curd,-45.0,INR,1.0,Household,Grocery,AmitK Savings,,0 Family,None
43,Expense,2023-02-19 11:41:48,11:41,Garg Pedhi,-768.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family,None
44,Expense,2023-02-19 07:00:53,07:00,Airtel Black charges,-1296.0,INR,1.0,Household,Monthly,AmitK CC,,0 Family,None
45,Expense,2023-02-18 18:06:23,18:06,Grocery Navaratna,-255.0,INR,1.0,Household,Grocery,AmitK Savings,,0 Family,None
46,Expense,2023-02-18 18:06:09,18:06,Ironing,-64.0,INR,1.0,Household,Maintenance,AmitK Savings,,0 Amit,None
47,Expense,2023-02-18 18:06:00,18:06,Amit Saloon,-270.0,INR,1.0,Household,Maintenance,AmitK Savings,,0 Amit,None
48,Expense,2023-02-18 12:40:33,12:40,LivePure subscription,-3294.0,INR,1.0,Household,Monthly,AmitK CC,,0 Family,None
49,Expense,2023-02-17 12:41:12,12:41,BB lunch,-240.0,INR,1.0,Entertainment,Dining Out,AmitK Savings,,0 Amit,None
50,Expense,2023-02-17 12:41:11,12:41,Fruits,-550.0,INR,1.0,Household,Grocery,AmitK Savings,,0 Family,None
51,Expense,2023-02-16 19:24:11,19:24,Dinner BBQ Nation,-1151.0,INR,1.0,Entertainment,FoodDelivery,Sodexho,,0 Family,None
52,Expense,2023-02-16 19:23:59,19:23,Activa servicing,-700.0,INR,1.0,Travel,Maintenance,Dipti Savings,,0 Family,None
53,Expense,2023-02-16 12:29:28,12:29,Veggies,-260.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family Health ,None
54,Expense,2023-02-15 12:29:44,12:29,Medicines,-54.0,INR,1.0,Household,Medicines,Dipti Savings,,0 Dipti,None
55,Expense,2023-02-15 12:29:43,12:29,Sai Baba Snacks,-44.0,INR,1.0,Entertainment,FoodDelivery,Dipti Savings,,0 Family,None
56,Expense,2023-02-15 11:30:19,11:30,Milind Bakery,-210.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family,None
57,Expense,2023-02-15 11:30:12,11:30,Grocery Goyal,-113.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family,None
58,Expense,2023-02-15 09:10:44,09:10,BigBasket,-1324.0,INR,1.0,Household,Grocery,Sodexho,,0 Family,None
